correct 	spelling:chat-only:5 	7.1secs 	cocoanuts:2 	co_______ 	== 	__coanuts 	RunAve=runAve spelling:chat-only:5: 1/1 100% 7.1secs 	Wed Feb 03 2021 21:46:09 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	3.9secs 	submission:7 	submiss___ 	== 	_______ion 	RunAve=runAve spelling:chat-only:5: 2/2 100% 5.5secs 	Wed Feb 03 2021 21:49:26 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	6.6secs 	allotted:1 	a_______ 	== 	_llotted 	RunAve=runAve spelling:chat-only:5: 3/3 100% 5.9secs 	Wed Feb 03 2021 21:49:54 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	4.0secs 	agony:1 	a____ 	== 	_gony 	RunAve=runAve spelling:chat-only:5: 4/4 100% 5.4secs 	Wed Feb 03 2021 21:53:06 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	9.8secs 	courtship:1 	c________ 	== 	_ourtship 	RunAve=runAve spelling:chat-only:5: 5/5 100% 6.3secs 	Wed Feb 03 2021 21:56:32 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	7.6secs 	maneuver:5 	maneu___ 	== 	_____ver 	RunAve=runAve spelling:chat-only:5: 6/6 100% 6.5secs 	Wed Feb 03 2021 21:57:01 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	9.6secs 	conceit:1 	c______ 	== 	_onceit 	RunAve=runAve spelling:chat-only:5: 7/7 100% 6.9secs 	Wed Feb 03 2021 21:57:31 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	5.2secs 	read:1 	r___ 	== 	_ead 	RunAve=runAve spelling:chat-only:5: 8/8 100% 6.7secs 	Wed Feb 03 2021 21:57:58 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	7.1secs 	shepherd:1 	s_______ 	== 	_hepherd 	RunAve=runAve spelling:chat-only:5: 9/9 100% 6.7secs 	Wed Feb 03 2021 21:59:09 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	4.6secs 	highland:1 	h_______ 	== 	_ighland 	RunAve=runAve spelling:chat-only:5: 10/10 100% 6.5secs 	Wed Feb 03 2021 21:59:35 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	6.2secs 	appreciate:1 	a_________ 	== 	_ppreciate 	RunAve=runAve spelling:chat-only:5: 11/11 100% 6.5secs 	Wed Feb 03 2021 22:00:02 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	3.8secs 	squirrel:1 	s_______ 	== 	_quirrel 	RunAve=runAve spelling:chat-only:5: 12/12 100% 6.3secs 	Wed Feb 03 2021 22:00:27 GMT-0600 (Central Standard Time)
wrong 	spelling:chat-only:5 	8.4secs 	imbue:1 	i____ 	!= 	_mbrue 	RunAve=runAve spelling:chat-only:5: 12/13 92% 6.4secs 	Wed Feb 03 2021 22:00:57 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	3.6secs 	imbue:1 	i____ 	== 	_mbue 	RunAve=runAve spelling:chat-only:5: 13/14 92% 6.2secs 	Wed Feb 03 2021 22:01:07 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	3.3secs 	imbue:4decreasing 	imbu_ 	== 	____e 	RunAve=runAve spelling:chat-only:5: 14/15 93% 6.0secs 	Wed Feb 03 2021 22:01:31 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	2.5secs 	imbue:3decreasing 	imb__ 	== 	___ue 	RunAve=runAve spelling:chat-only:5: 15/16 93% 5.8secs 	Wed Feb 03 2021 22:01:45 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	3.3secs 	imbue:2decreasing 	im___ 	== 	__bue 	RunAve=runAve spelling:chat-only:5: 16/17 94% 5.7secs 	Wed Feb 03 2021 22:01:59 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	2.5secs 	imbue:1decreasing 	i____ 	== 	_mbue 	RunAve=runAve spelling:chat-only:5: 17/18 94% 5.5secs 	Wed Feb 03 2021 22:02:13 GMT-0600 (Central Standard Time)
correct 	spelling:next-letter:5 	5.8secs 	imbue:0next-letter 	_____ 	== 	i 	RunAve=runAve spelling:next-letter:5: 1/1 100% 5.8secs 	Wed Feb 03 2021 22:02:30 GMT-0600 (Central Standard Time)
correct 	spelling:next-letter:5 	3.1secs 	imbue:1next-letter 	i____ 	== 	m 	RunAve=runAve spelling:next-letter:5: 2/2 100% 4.4secs 	Wed Feb 03 2021 22:02:44 GMT-0600 (Central Standard Time)
correct 	spelling:next-letter:5 	9.1secs 	imbue:2next-letter 	im___ 	== 	b 	RunAve=runAve spelling:next-letter:5: 3/3 100% 6.0secs 	Wed Feb 03 2021 22:03:04 GMT-0600 (Central Standard Time)
correct 	spelling:next-letter:5 	7.0secs 	imbue:3next-letter 	imb__ 	== 	u 	RunAve=runAve spelling:next-letter:5: 4/4 100% 6.2secs 	Wed Feb 03 2021 22:03:22 GMT-0600 (Central Standard Time)
