correct 	math 	2.8secs 	3 ^ 0 	What is 3 ^ 0? 	== 	1 	RunAve=runAve math: 1/1 100% 2.8secs 	Sun Jan 17 2021 14:12:17 GMT-0600 (Central Standard Time)
correct 	math 	3.2secs 	3 ^ 2 	What is 3 ^ 2? 	== 	9 	RunAve=runAve math: 2/2 100% 3.0secs 	Sun Jan 17 2021 14:15:18 GMT-0600 (Central Standard Time)
correct 	spelling 	2.8secs 	tenth:1 	t____ 	== 	_enth 	RunAve=runAve spelling: 1/1 100% 2.8secs 	Sun Jan 17 2021 14:15:38 GMT-0600 (Central Standard Time)
correct 	spelling 	1.8secs 	raven:2 	ra___ 	== 	__ven 	RunAve=runAve spelling: 2/2 100% 2.3secs 	Sun Jan 17 2021 14:15:57 GMT-0600 (Central Standard Time)
correct 	spelling 	1.7secs 	archery:3 	arc____ 	== 	___hery 	RunAve=runAve spelling: 3/3 100% 2.1secs 	Sun Jan 17 2021 14:16:17 GMT-0600 (Central Standard Time)
correct 	spelling 	1.9secs 	trust:1 	t____ 	== 	_rust 	RunAve=runAve spelling: 4/4 100% 2.1secs 	Sun Jan 17 2021 14:16:37 GMT-0600 (Central Standard Time)
correct 	math 	3.0secs 	4 ^ 2 	What is 4 ^ 2? 	== 	16 	RunAve=runAve math: 3/3 100% 3.0secs 	Sun Jan 17 2021 14:16:58 GMT-0600 (Central Standard Time)
correct 	math 	1.4secs 	1 / 1 	What is 1 / 1? 	== 	1 	RunAve=runAve math: 4/4 100% 2.6secs 	Sun Jan 17 2021 14:17:16 GMT-0600 (Central Standard Time)
correct 	spelling 	2.4secs 	swamp:1 	s____ 	== 	_wamp 	RunAve=runAve spelling: 5/5 100% 2.1secs 	Sun Jan 17 2021 14:17:37 GMT-0600 (Central Standard Time)
correct 	math 	3.8secs 	11 * 12 	What is 11 * 12? 	== 	132 	RunAve=runAve math: 5/5 100% 2.8secs 	Sun Jan 17 2021 14:17:59 GMT-0600 (Central Standard Time)
correct 	spelling 	4.8secs 	verbal:1 	v_____ 	== 	_erbal 	RunAve=runAve spelling: 6/6 100% 2.6secs 	Sun Jan 17 2021 14:18:20 GMT-0600 (Central Standard Time)
correct 	spelling 	1.8secs 	cope:1 	c___ 	== 	_ope 	RunAve=runAve spelling: 7/7 100% 2.5secs 	Sun Jan 17 2021 14:18:37 GMT-0600 (Central Standard Time)
correct 	spelling 	1.2secs 	plum:1 	p___ 	== 	_lum 	RunAve=runAve spelling: 8/8 100% 2.3secs 	Sun Jan 17 2021 14:18:56 GMT-0600 (Central Standard Time)
correct 	spelling 	6.2secs 	pulpit:2 	pu____ 	== 	__lpit 	RunAve=runAve spelling: 9/9 100% 2.7secs 	Sun Jan 17 2021 14:19:21 GMT-0600 (Central Standard Time)
correct 	spelling 	1.6secs 	lot:1 	l__ 	== 	_ot 	RunAve=runAve spelling: 10/10 100% 2.6secs 	Sun Jan 17 2021 14:19:56 GMT-0600 (Central Standard Time)
correct 	math 	2.4secs 	36 / 3 	What is 36 / 3? 	== 	12 	RunAve=runAve math: 6/6 100% 2.8secs 	Sun Jan 17 2021 14:20:17 GMT-0600 (Central Standard Time)
correct 	math 	1.9secs 	77 / 7 	What is 77 / 7? 	== 	11 	RunAve=runAve math: 7/7 100% 2.6secs 	Sun Jan 17 2021 14:20:37 GMT-0600 (Central Standard Time)
correct 	math 	2.9secs 	-1 * 10 	What is -1 * 10? 	== 	-10 	RunAve=runAve math: 8/8 100% 2.7secs 	Sun Jan 17 2021 14:20:58 GMT-0600 (Central Standard Time)
correct 	math 	2.5secs 	9 * 5 	What is 9 * 5? 	== 	45 	RunAve=runAve math: 9/9 100% 2.7secs 	Sun Jan 17 2021 14:21:17 GMT-0600 (Central Standard Time)
correct 	spelling 	3.1secs 	heavy:2 	he___ 	== 	__avy 	RunAve=runAve spelling: 11/11 100% 2.7secs 	Sun Jan 17 2021 14:21:38 GMT-0600 (Central Standard Time)
correct 	math 	1.5secs 	6 * 1 	What is 6 * 1? 	== 	6 	RunAve=runAve math: 10/10 100% 2.5secs 	Sun Jan 17 2021 14:21:57 GMT-0600 (Central Standard Time)
correct 	math 	2.0secs 	-11 * 1 	What is -11 * 1? 	== 	-11 	RunAve=runAve math: 11/11 100% 2.5secs 	Sun Jan 17 2021 14:22:17 GMT-0600 (Central Standard Time)
correct 	spelling 	2.8secs 	consent:4 	cons___ 	== 	____ent 	RunAve=runAve spelling: 12/12 100% 2.7secs 	Sun Jan 17 2021 14:22:38 GMT-0600 (Central Standard Time)
wrong 	math 	2.4secs 	9 * 12 	What is 9 * 12? 	!= 	90 	RunAve=runAve math: 11/12 91% 2.5secs 	Sun Jan 17 2021 14:22:57 GMT-0600 (Central Standard Time)
correct 	math 	1.9secs 	9 * 10 	What is 9 * 10? 	== 	90 	RunAve=runAve math: 12/13 92% 2.4secs 	Sun Jan 17 2021 14:23:17 GMT-0600 (Central Standard Time)
correct 	math 	2.3secs 	9 * 11 	What is 9 * 11? 	== 	99 	RunAve=runAve math: 13/14 92% 2.4secs 	Sun Jan 17 2021 14:23:37 GMT-0600 (Central Standard Time)
correct 	math 	3.4secs 	9 * 12 	What is 9 * 12? 	== 	108 	RunAve=runAve math: 14/15 93% 2.5secs 	Sun Jan 17 2021 14:25:35 GMT-0600 (Central Standard Time)
correct 	spelling 	2.2secs 	beetle:1 	b_____ 	== 	_eetle 	RunAve=runAve spelling: 13/13 100% 2.6secs 	Sun Jan 17 2021 14:25:54 GMT-0600 (Central Standard Time)
wrong 	math 	1.7secs 	56 / 8 	What is 56 / 8? 	!= 	9 	RunAve=runAve math: 14/16 87% 2.5secs 	Sun Jan 17 2021 14:26:13 GMT-0600 (Central Standard Time)
correct 	spelling 	2.0secs 	drown:2 	dr___ 	== 	__own 	RunAve=runAve spelling: 14/14 100% 2.6secs 	Sun Jan 17 2021 14:26:34 GMT-0600 (Central Standard Time)
correct 	math 	3.1secs 	8 * 7 	What is 8 * 7? 	== 	56 	RunAve=runAve math: 15/17 88% 2.5secs 	Sun Jan 17 2021 14:26:55 GMT-0600 (Central Standard Time)
correct 	math 	4.5secs 	7 * 8 	What is 7 * 8? 	== 	56 	RunAve=runAve math: 16/18 88% 2.6secs 	Sun Jan 17 2021 14:27:16 GMT-0600 (Central Standard Time)
correct 	math 	2.6secs 	56 / 8 	What is 56 / 8? 	== 	7 	RunAve=runAve math: 17/19 89% 2.6secs 	Sun Jan 17 2021 14:27:34 GMT-0600 (Central Standard Time)
correct 	math 	2.4secs 	56 / 7 	What is 56 / 7? 	== 	8 	RunAve=runAve math: 18/20 90% 2.6secs 	Sun Jan 17 2021 14:27:54 GMT-0600 (Central Standard Time)
correct 	spelling 	2.0secs 	smash:1 	s____ 	== 	_mash 	RunAve=runAve spelling: 15/15 100% 2.6secs 	Sun Jan 17 2021 14:28:14 GMT-0600 (Central Standard Time)
correct 	spelling 	2.5secs 	glide:1 	g____ 	== 	_lide 	RunAve=runAve spelling: 16/16 100% 2.6secs 	Sun Jan 17 2021 14:28:34 GMT-0600 (Central Standard Time)
correct 	math 	3.1secs 	-9 ^ 0 	What is -9 ^ 0? 	== 	1 	RunAve=runAve math: 19/21 90% 2.6secs 	Sun Jan 17 2021 14:28:55 GMT-0600 (Central Standard Time)
