correct 	2.6secs 	What is 11 * 2? 	== 	22 	RunAve=runAve: 1/1 100% 	Sat Jan 09 2021 18:49:24 GMT-0600 (Central Standard Time)
wrong 	1.5secs 	What is 4 + 1? 	!= 	4 	RunAve=runAve: 1/2 50% 	Sat Jan 09 2021 18:50:23 GMT-0600 (Central Standard Time)
correct 	4.3secs 	What is 4 + 1? 	== 	5 	RunAve=runAve: 2/3 66% 	Sat Jan 09 2021 18:51:26 GMT-0600 (Central Standard Time)
correct 	4.5secs 	What is 2 - 5? 	== 	-3 	RunAve=runAve: 3/4 75% 	Sat Jan 09 2021 18:51:46 GMT-0600 (Central Standard Time)
correct 	2.7secs 	What is 6 + 0? 	== 	6 	RunAve=runAve: 4/5 80% 	Sat Jan 09 2021 21:27:05 GMT-0600 (Central Standard Time)
correct 	3.4secs 	What is 2 + 2? 	== 	4 	RunAve=runAve: 5/6 83% 	Sat Jan 09 2021 21:27:25 GMT-0600 (Central Standard Time)
correct 	7.8secs 	What is 7 * -11? 	== 	-77 	RunAve=runAve: 6/7 85% 	Sat Jan 09 2021 21:27:50 GMT-0600 (Central Standard Time)
correct 	1.4secs 	What is 11 * 4? 	== 	44 	RunAve=runAve: 7/8 87% 	Sat Jan 09 2021 21:28:03 GMT-0600 (Central Standard Time)
correct 	0.3secs 	What is 2 * 3? 	== 	6 	RunAve=runAve: 8/9 88% 	Sat Jan 09 2021 21:29:22 GMT-0600 (Central Standard Time)
wrong 	21.0secs 	What is 5 + 8? 	!= 	12 	RunAve=runAve: 8/10 80% 	Sat Jan 09 2021 21:30:23 GMT-0600 (Central Standard Time)
correct 	25.8secs 	What is 5 + 6? 	== 	11 	RunAve=runAve: 9/11 81% 	Sat Jan 09 2021 21:31:08 GMT-0600 (Central Standard Time)
wrong 	42.1secs 	What is 5 + 8? 	!= 	12 	RunAve=runAve: 9/12 75% 	Sat Jan 09 2021 21:32:04 GMT-0600 (Central Standard Time)
correct 	7.7secs 	What is 5 + 6? 	== 	11 	RunAve=runAve: 9/12 75% 	Sat Jan 09 2021 21:32:50 GMT-0600 (Central Standard Time)
correct 	1.0secs 	What is 5 + 8? 	== 	13 	RunAve=runAve: 9/11 81% 	Sat Jan 09 2021 21:33:23 GMT-0600 (Central Standard Time)
wrong 	1.6secs 	What is 1 + 2? 	!= 	0 	RunAve=runAve: 7/10 70% 	Sat Jan 09 2021 21:33:44 GMT-0600 (Central Standard Time)
correct 	4.6secs 	What is 1 + 2? 	== 	3 	RunAve=runAve: 6/9 66% 	Sat Jan 09 2021 21:34:47 GMT-0600 (Central Standard Time)
correct 	14.1secs 	What is 1 * 8? 	== 	8 	RunAve=runAve: 5/8 62% 	Sat Jan 09 2021 21:37:16 GMT-0600 (Central Standard Time)
