correct 	math 	11.0secs 	12 * 4 	What is 12 * 4? 	== 	48 	RunAve=runAve math: 1/1 100% 11.0secs 	Sat Jan 16 2021 10:18:46 GMT-0600 (Central Standard Time)
correct 	math 	2.1secs 	5 * 5 	What is 5 * 5? 	== 	25 	RunAve=runAve math: 2/2 100% 6.6secs 	Sat Jan 16 2021 10:18:58 GMT-0600 (Central Standard Time)
correct 	math 	3.5secs 	9 * 6 	What is 9 * 6? 	== 	54 	RunAve=runAve math: 3/3 100% 5.5secs 	Sat Jan 16 2021 10:19:19 GMT-0600 (Central Standard Time)
correct 	math 	1.3secs 	11 * 0 	What is 11 * 0? 	== 	0 	RunAve=runAve math: 4/4 100% 4.5secs 	Sat Jan 16 2021 10:19:37 GMT-0600 (Central Standard Time)
correct 	math 	9.2secs 	3 * 7 	What is 3 * 7? 	== 	21 	RunAve=runAve math: 5/5 100% 5.4secs 	Sat Jan 16 2021 10:20:05 GMT-0600 (Central Standard Time)
correct 	math 	2.0secs 	5 * 11 	What is 5 * 11? 	== 	55 	RunAve=runAve math: 6/6 100% 4.9secs 	Sat Jan 16 2021 10:20:17 GMT-0600 (Central Standard Time)
correct 	math 	1.6secs 	10 * 9 	What is 10 * 9? 	== 	90 	RunAve=runAve math: 7/7 100% 4.4secs 	Sat Jan 16 2021 10:20:37 GMT-0600 (Central Standard Time)
correct 	math 	1.8secs 	11 * 12 	What is 11 * 12? 	== 	132 	RunAve=runAve math: 8/8 100% 4.1secs 	Sat Jan 16 2021 10:20:57 GMT-0600 (Central Standard Time)
correct 	math 	2.9secs 	8 * 8 	What is 8 * 8? 	== 	64 	RunAve=runAve math: 9/9 100% 3.9secs 	Sat Jan 16 2021 10:21:18 GMT-0600 (Central Standard Time)
correct 	math 	1.7secs 	0 * 1 	What is 0 * 1? 	== 	0 	RunAve=runAve math: 10/10 100% 3.7secs 	Sat Jan 16 2021 10:21:37 GMT-0600 (Central Standard Time)
correct 	math 	8.0secs 	-5 * 3 	What is -5 * 3? 	== 	-15 	RunAve=runAve math: 11/11 100% 4.1secs 	Sat Jan 16 2021 10:22:04 GMT-0600 (Central Standard Time)
correct 	math 	5.2secs 	-8 * 5 	What is -8 * 5? 	== 	-40 	RunAve=runAve math: 12/12 100% 4.2secs 	Sat Jan 16 2021 10:22:21 GMT-0600 (Central Standard Time)
correct 	math 	3.1secs 	9 * 11 	What is 9 * 11? 	== 	99 	RunAve=runAve math: 13/13 100% 4.1secs 	Sat Jan 16 2021 10:22:39 GMT-0600 (Central Standard Time)
correct 	math 	2.4secs 	-12 * 9 	What is -12 * 9? 	== 	-108 	RunAve=runAve math: 14/14 100% 4.0secs 	Sat Jan 16 2021 10:22:58 GMT-0600 (Central Standard Time)
